,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
24,23,中島　卓也,(日),.259,126,461,382,55,99,9,3,0,114,32,28,9,35,1,43,0,0,92,4,.298,.333
25,24,秋山　翔吾,(西),.259,131,561,475,64,123,24,6,4,171,47,3,3,11,2,70,2,3,98,4,.360,.356
26,25,中村　剛也,(西),.257,111,466,382,68,98,19,1,34,221,90,0,0,0,3,79,0,2,124,13,.579,.384
27,26,ペーニャ,(オ),.255,140,572,502,68,128,20,0,32,244,90,2,0,0,1,59,6,10,124,15,.486,.344
28,27,ヘルマン,(オ),.250,141,595,532,62,133,28,1,7,184,52,30,16,2,3,54,1,4,95,17,.346,.322
29,28,大引　啓次,(日),.245,132,512,432,44,106,16,3,5,143,47,21,6,26,2,51,0,1,98,11,.331,.325
30,29,今宮　健太,(ソ),.240,144,662,551,61,132,26,1,3,169,42,10,5,62,4,41,0,4,104,10,.307,.295
31,30,クルーズ,(ロ),.238,126,478,453,38,108,32,1,16,190,61,1,2,0,5,18,1,2,47,13,.419,.268
32,31,ジョーンズ,(楽),.221,138,581,448,69,99,20,0,24,191,71,2,3,0,3,118,5,12,140,16,.426,.394
2,1,川端　慎吾,(ヤ),.336,143,632,581,87,195,34,1,8,255,57,4,3,2,2,43,0,3,72,15,.439,.383
3,2,山田　哲人,(ヤ),.329,143,646,557,119,183,39,2,38,340,100,34,4,0,3,81,1,5,111,11,.610,.416
4,3,筒香　嘉智,(デ),.317,138,568,496,79,157,28,1,24,259,93,0,0,0,2,68,0,2,98,5,.522,.400
5,4,ルナ,(中),.292,134,564,496,61,145,26,1,8,197,60,11,0,0,6,57,2,5,77,13,.397,.367
6,5,ロペス,(デ),.291,140,565,516,63,150,29,1,25,256,73,1,1,0,3,44,3,2,82,14,.496,.347
7,6,平田　良介,(中),.283,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,1,3,86,5,.430,.369
8,7,鳥谷　敬,(神),.281,143,646,551,69,155,21,4,6,202,42,9,6,2,3,89,2,1,77,8,.367,.380
9,8,福留　孝介,(神),.281,140,569,495,53,139,24,3,20,229,76,1,2,1,7,65,1,1,75,15,.463,.361
10,9,マートン,(神),.276,140,583,544,46,150,27,0,9,204,59,0,1,0,5,31,0,3,77,21,.375,.316
